epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
163,3664.83,0.56594,0.54053,1.13859,0.86676,0.79473,0.875,0.63158,0.92768,0.70199,1.63061,0.000398271,0.000398271,0.000398271
164,3685.25,0.55909,0.53154,1.12991,0.80954,0.84403,0.88241,0.63516,0.91664,0.68748,1.6351,0.000393872,0.000393872,0.000393872
165,3712.4,0.56762,0.51767,1.14545,0.85798,0.78446,0.86819,0.61621,0.89974,0.74909,1.59539,0.000389472,0.000389472,0.000389472
166,3732.83,0.57436,0.53833,1.14871,0.82089,0.78479,0.84712,0.6114,0.90782,0.7644,1.62768,0.000385073,0.000385073,0.000385073
167,3753.4,0.59251,0.55057,1.16026,0.83727,0.8174,0.85528,0.61932,0.86332,0.76262,1.52707,0.000380673,0.000380673,0.000380673
168,3774.18,0.5477,0.52708,1.12253,0.8396,0.82677,0.87634,0.61893,0.8773,0.72874,1.57813,0.000376273,0.000376273,0.000376273
169,3795.99,0.56976,0.5355,1.13731,0.83281,0.82284,0.85198,0.60171,0.90486,0.7548,1.61388,0.000371874,0.000371874,0.000371874
170,3818.38,0.54647,0.51906,1.11654,0.7939,0.84917,0.86086,0.61398,0.88872,0.75301,1.58564,0.000367474,0.000367474,0.000367474
171,3839.28,0.5706,0.5293,1.14227,0.80461,0.86807,0.87419,0.62895,0.90934,0.70602,1.60356,0.000363075,0.000363075,0.000363075
172,3859.68,0.54511,0.51933,1.12235,0.84457,0.82984,0.86441,0.62945,0.88588,0.72719,1.60178,0.000358675,0.000358675,0.000358675
173,3880.1,0.54331,0.49077,1.12061,0.81947,0.77922,0.81105,0.59395,0.9446,0.84293,1.67017,0.000354276,0.000354276,0.000354276
174,3902.25,0.5759,0.5319,1.13853,0.83257,0.79391,0.84644,0.61287,0.941,0.74617,1.66826,0.000349876,0.000349876,0.000349876
175,3925.58,0.53454,0.50609,1.12079,0.84551,0.77325,0.87661,0.62297,0.91693,0.71964,1.64175,0.000345477,0.000345477,0.000345477
176,3947.8,0.53748,0.50262,1.11851,0.79055,0.80547,0.86503,0.62667,0.92242,0.84975,1.60627,0.000341077,0.000341077,0.000341077
177,3968.81,0.5622,0.50943,1.1376,0.81721,0.77196,0.85541,0.62657,0.87759,0.74347,1.57392,0.000336677,0.000336677,0.000336677
178,3989.47,0.55362,0.51227,1.13879,0.78698,0.83524,0.87075,0.60892,0.92205,0.8031,1.64038,0.000332278,0.000332278,0.000332278
179,4009.94,0.53978,0.50164,1.12197,0.81334,0.76417,0.86601,0.6223,0.88711,0.74826,1.61337,0.000327878,0.000327878,0.000327878
